"item_id","item_name","media_type","date_created","date_modified","file","description","rendered_flag","labeled_flag","html5_flag","flag1","flag2"
13,"Heart0048-2","video","2011-08-30 14:16:15","2014-06-09 14:21:32","Heart0048-Functional-Right-Atrium-Right-Atrial-Appendage-2","Contracting right atrial appendage; note how thin walled the RA is between pectinate muscles; text on Dr. Iaizzo&rsquo;s business card can be read through the wall.",1,1,1,0,0
14,"Heart0049","video","2011-08-30 14:16:15","2012-09-05 16:44:34","Heart0049-Functional-Right-Atrium-Right-Atrial-Appendage","Contracting right atrial appendage, but noted flutter in pectinate muscles.
",1,1,1,0,0
15,"Heart0053","video","2011-08-30 14:16:15","2012-09-05 16:44:34","Heart0053-Functional-Right-Atrium-Right-Atrial-Appendage","Right atrial appendage and sagittal band. Sagittal band seen in the center of the screen.
",1,1,1,0,0
16,"Heart0058-1","video","2011-08-30 14:16:15","2012-12-27 16:12:10","Heart0058-Functional-Right-Atrium-Right-Atrial-Appendage-1","View of the right atrial appendage - the pectinate muscles alternate with thin walls. The crista terminalis is just off the top of the screen.
",0,1,1,0,0
17,"Heart0058-2","video","2011-08-30 14:16:15","2012-12-27 16:12:10","Heart0058-Functional-Right-Atrium-Right-Atrial-Appendage-2","View of right atrial appendage wall with pectinate muscles.  Septomarginal trabeculations can be seen to the left of the view.
",0,1,1,0,0
18,"Heart0073","video","2011-08-30 14:16:15","2012-12-27 16:19:17","Heart0073-Functional-Right-Atrium-Right-Atrial-Appendage","View of right atrial appendage with pectinate muscles; anterior of heart is to the left.
",0,1,1,0,0
19,"Heart0076","video","2011-08-30 14:16:15","2012-12-27 16:21:39","Heart0076-Functional-Right-Atrium-Right-Atrial-Appendage","View of the right atrial appendage.
",0,1,1,0,0
20,"Heart0077","video","2011-08-30 14:16:15","2012-12-27 16:29:49","Heart0077-Functional-Right-Atrium-Right-Atrial-Appendage","View of the right atrial appendage with a close-up of the crista terminalis.
",0,1,1,0,0
21,"Heart0083-fib","video","2011-08-30 14:16:15","2012-12-27 16:42:37","Heart0083-Functional-Right-Atrium-Right-Atrial-Appendage-fib","View of the right atrial appendage from inside the right atrium during the onset of atrial fibrillation, characterized by a wave motion.
",0,1,1,0,0
22,"Heart0085-1","video","2011-08-30 14:16:15","2012-12-27 16:44:14","Heart0085-Functional-Right-Atrium-Right-Atrial-Appendage-1","Close up view of the right atrial appendage showing the pectinate muscles.
",0,1,1,0,0
23,"Heart0085-2","video","2011-08-30 14:16:15","2012-12-27 16:44:14","Heart0085-Functional-Right-Atrium-Right-Atrial-Appendage-2","The extremely thin walls of the right atrium are demonstrated in this clip of a business card seen through the appendage.  This anatomical phenomenon exemplifies the caution required when placing active fixation leads in the appendage.
",0,1,1,0,0
24,"Heart0086","video","2011-08-30 14:16:15","2012-12-27 16:47:12","Heart0086-Functional-Right-Atrium-Right-Atrial-Appendage","The right atrial appendage can be seen displaying the pectinate muscles and the start of the crista terminalis, to the top right of the image.  The quivering of the appendage is most probably due to the fact that the reanimated heart is not supported externally, as by the pericardium in the body.
",0,1,1,0,0
25,"Heart0120","video","2011-08-30 14:16:15","2012-12-27 16:49:25","Heart0120-Functional-Right-Atrium-Right-Atrial-Appendage","View of the right atrial appendage showing the pectinate muscles of the endocardial surface.  The tricuspid valve can be seen to the bottom left and the crista terminalis to the upper right.
",0,1,1,0,0
26,"Heart0126","video","2011-08-30 14:16:15","2012-12-27 16:51:19","Heart0126-Functional-Right-Atrium-Right-Atrial-Appendage","The right atrial appendage with pectinate muscle.
",0,1,1,0,0
27,"Heart0136-1","video","2011-08-30 14:16:15","2013-07-10 16:15:17","Heart0136-Functional-Right-Atrium-Right-Atrial-Appendage-1","The right atrial appendage is seen with light from the exterior of the heart shining through it's thin epicardium. Trebeculations are also prominent within the appendage.
",0,1,1,0,0
28,"Heart0136-2","video","2011-08-30 14:16:15","2013-07-10 16:15:17","Heart0136-Functional-Right-Atrium-Right-Atrial-Appendage-2","The right atrial appendage is seen with the free wall on the right side of the video. External light can be seen though the free wall in between the trebeculae due to its thin and semi-translucent nature of the atrium.",0,1,1,0,0
29,"Heart0005","still","2011-08-30 14:16:15","2012-09-05 16:47:45","Heart0005-Perfusion-Fixed-Right-Atrium-Right-Atrial-Appendage","In this image, the camera is sitting in the right atrial chamber and pointing slightly upward in order to view the inside of the appendage.  View of the RAA with many trabeculations present.  Crista terminalis travels along the tops of the screen.
",0,1,0,0,0
30,"Heart0005-LW","still","2011-08-30 14:16:15","2012-09-05 16:47:45","Heart0005-Perfusion-Fixed-Right-Atrium-Right-Atrial-Appendage-LW","Looking towards the RAA freewall, with the crista terminalis in the upper right hand corner.
",0,1,0,0,0
31,"Heart0007","still","2011-08-30 14:16:15","2012-09-05 16:47:45","Heart0007-Perfusion-Fixed-Right-Atrium-Right-Atrial-Appendage","Rotated view of the RAA, the top of the image being the posterior aspect of the RAA and the left of the image being the crista terminalis.
",0,1,0,0,0
32,"Heart0016","still","2011-08-30 14:16:15","2012-09-05 16:47:45","Heart0016-Perfusion-Fixed-Right-Atrium-Right-Atrial-Appendage","Rotated view of the RAA, the bottom of the image being the crista terminalis.  Excellent example of networked pectinate muscles forming a trabeculated surface very similar in appearance to the ventricles.
",0,1,0,0,0
33,"Heart0018-1","still","2011-08-30 14:16:15","2012-09-05 16:47:45","Heart0018-Perfusion-Fixed-Right-Atrium-Right-Atrial-Appendage-1","View into the right atrial appendage/auricle. Excellent example of networked pectinate muscles forming a trabeculated surface very similar in appearance to the ventricles.
",0,1,0,0,0
34,"Heart0018-2","still","2011-08-30 14:16:15","2012-09-05 16:47:45","Heart0018-Perfusion-Fixed-Right-Atrium-Right-Atrial-Appendage-2","In this image, the camera is sitting in the right atrial chamber and pointing slightly upward in order to view the inside of the appendage. Crista terminalis travelling along the upper right portion of the image, with the sagittal band traversing down the RAA in the distance.
",0,1,0,0,0
35,"Heart0018-3","still","2011-08-30 14:16:15","2012-09-05 16:47:45","Heart0018-Perfusion-Fixed-Right-Atrium-Right-Atrial-Appendage-3","View into the right atrial appendage/auricle. Excellent example of networked pectinate muscles forming a trabeculated surface very similar in appearance to the ventricles.
",0,1,0,0,0
36,"Heart0019","still","2011-08-30 14:16:15","2012-09-05 16:47:45","Heart0019-Perfusion-Fixed-Right-Atrium-Right-Atrial-Appendage","Rotated view of the RAA, the top of the image being the posterior aspect of the RAA and the left of the image being the crista terminalis.
",0,1,0,0,0
37,"Heart0020","still","2011-08-30 14:16:15","2012-09-05 16:47:45","Heart0020-Perfusion-Fixed-Right-Atrium-Right-Atrial-Appendage","In this image, the camera is sitting in the right atrial chamber and pointing slightly upward in order to view the inside of the appendage. Crista terminalis travelling along the upper right portion of the image, with the sagittal band traversing down the RAA in the distance.
",0,1,0,0,0
38,"Heart0022","still","2011-08-30 14:16:15","2012-09-05 16:47:45","Heart0022-Perfusion-Fixed-Right-Atrium-Right-Atrial-Appendage","In this image, the camera is sitting in the right atrial chamber and pointing slightly upward in order to view the inside of the appendage. Crista terminalis travelling along the left edge of the image, with the sagittal band traversing from the left to the middle of the image.
",0,1,0,0,0
39,"Heart0024","still","2011-08-30 14:16:15","2012-09-05 16:47:45","Heart0024-Perfusion-Fixed-Right-Atrium-Right-Atrial-Appendage","Upclose view of an unique pectinate muscle in the right atrial appendage.",0,1,0,0,0
40,"Heart0000","still","2011-08-30 14:16:15","2015-05-05 13:20:35","appendh","&nbsp;
",0,0,0,0,0
41,"Heart0005-acute-margin","sectioned","2011-08-30 14:16:15","2011-08-30 14:19:26","Heart0005-acute-margin","&nbsp;
",0,0,0,0,0
42,"Heart0010-Ant-Post","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0010-Sectioned-Ant-Post","&nbsp;
",0,0,0,0,0
43,"Heart0010-Int-Ant-Post","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0010-Sectioned-Int-Ant-Post","&nbsp;
",0,0,0,0,0
45,"Heart0013_ant_epi","sectioned","2011-08-30 14:16:15","2012-08-20 09:41:09","Heart0013-ant-epi","&nbsp;
",0,0,0,0,0
46,"Heart0015-Ant","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0015-Sectioned-Ant","&nbsp;
",0,0,0,0,0
47,"Heart0015-Int-Right","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0015-Sectioned-Int-Right","&nbsp;
",0,0,0,0,0
48,"Heart0015-Post","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0015-Sectioned-Post","&nbsp;
",0,0,0,0,0
49,"Heart0017_acute_margin","sectioned","2011-08-30 14:16:15","2015-05-14 16:47:01","Heart0017-acute-margin","A right margin view of a heart in which the pericardium was removed.",0,0,0,0,0
50,"Heart0020-Ant","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0020-Sectioned-Ant","&nbsp;
",0,0,0,0,0
51,"Heart0020-Right","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0020-Sectioned-Right","&nbsp;
",0,0,0,0,0
52,"Heart0021-Ant","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0021-Sectioned-Ant","&nbsp;
",0,0,0,0,0
53,"Heart0021-Int-Right","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0021-Sectioned-Int-Right","&nbsp;
",0,0,0,0,0
54,"Heart0022-Ant-Int","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0022-Sectioned-Ant-Int","&nbsp;
",0,0,0,0,0
55,"Heart0022-Left","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0022-Sectioned-Left","&nbsp;
",0,0,0,0,0
56,"Heart0032-Ant-Post","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0032-Sectioned-Ant-Post","&nbsp;
",0,0,0,0,0
57,"Heart0032-Int-Ant-Post","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0032-Sectioned-Int-Ant-Post","&nbsp;
",0,0,0,0,0
58,"Heart0035-Post","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0035-Sectioned-Post","&nbsp;
",0,0,0,0,0
59,"Heart0035-Right","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0035-Sectioned-Right","&nbsp;
",0,0,0,0,0
60,"Heart0036-Right","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0036-Sectioned-Right","&nbsp;
",0,0,0,0,0
61,"Heart0037-Ant-Int","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0037-Sectioned-Ant-Int","&nbsp;
",0,0,0,0,0
62,"Heart0037-Post","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0037-Sectioned-Post","&nbsp;
",0,0,0,0,0
63,"Heart0042-Left","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0042-Sectioned-Left","&nbsp;
",0,0,0,0,0
64,"Heart0044-Ant-Post","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0044-Sectioned-Ant-Post","&nbsp;
",0,0,0,0,0
65,"Heart0044-Ant-Post-Int","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0044-Sectioned-Ant-Post-Int","&nbsp;
",0,0,0,0,0
66,"Heart0046-Ant","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0046-Sectioned-Ant","&nbsp;
",0,0,0,0,0
67,"Heart0048-Post","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0048-Sectioned-Post","&nbsp;
",0,0,0,0,0
68,"Heart0048-Right","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0048-Sectioned-Right","&nbsp;
",0,0,0,0,0
69,"Heart0050-Post","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0050-Sectioned-Post","&nbsp;
",0,0,0,0,0
70,"Heart0050-Right","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0050-Sectioned-Right","&nbsp;
",0,0,0,0,0
71,"Heart0051-Ant","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0051-Sectioned-Ant","&nbsp;
",0,0,0,0,0
72,"Heart0058-Ant-Post","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0058-Sectioned-Ant-Post","&nbsp;
",0,0,0,0,0
73,"Heart0058-Int-Ant-Post","sectioned","2011-08-30 14:16:15","2012-09-14 15:00:52","Heart0058-Sectioned-Int-Ant-Post","&nbsp;",0,0,0,0,0
74,"Heart0003","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0003-Functional-Right-Atrium-Coronary-Sinus-Ostium","Camera starts inside coronary sinus and then backs out to show coronary sinus ostium partially covered by a small crescent Thebesian valve.
",1,1,1,0,0
75,"Heart0006","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0006-Functional-Right-Atrium-Coronary-Sinus-Ostium","View of the coronary sinus ostium and Thebesian valve.  The anatomy of this region is a little distorted due to the placement of the cannula in the inferior vena cava.
",1,1,1,0,0
76,"Heart0008","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0008-Functional-Right-Atrium-Coronary-Sinus-Ostium","View of the coronary sinus ostium and Thebesian valve.  The camera advances towards the ostium showing the proximal portion of the coronary sinus.  A small venous valve can be seen opening and closing at the bottom of the coronary sinus.
",1,1,1,0,0
77,"Heart0009-ThV-1","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0009-Functional-Right-Atrium-Coronary-Sinus-Ostium-Thebesian-Valve-1","View of the coronary sinus ostium and Thebesian valve.  The camera is facing towards the lateral/posterior wall of the right atrium looking into the very small ostium.
",1,1,1,0,0
78,"Heart0009-ThV-2","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0009-Functional-Right-Atrium-Coronary-Sinus-Ostium-Thebesian-Valve-2","View of the coronary sinus ostium and Thebesian valve.  The camera is facing towards the tricuspid valve and shows the movement of the fenestrated Thebesian valve during the cardiac cycle.
",1,1,1,0,0
79,"Heart0009","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0009-Functional-Right-Atrium-Coronary-Sinus-Ostium","Close-up view of the lumen of the coronary sinus.   Many small venous openings can be seen as the camera is retracted back into the right atrium.
",1,1,1,0,0
80,"Heart0011-1","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0011-Functional-Right-Atrium-Coronary-Sinus-Ostium-1","A close up view of the coronary sinus.  At the end of the video clip, the ostium for the venous return from the posterior interventricular vein can be seen at the bottom right of the image.
",1,1,1,0,0
81,"Heart0011-2","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0011-Functional-Right-Atrium-Coronary-Sinus-Ostium-2","View of the coronary sinus ostium and Thebesian valve.  The camera advances towards the ostium showing the proximal portion of the coronary sinus.  A small venous valve can be seen opening and closing at the bottom of the coronary sinus.
",1,1,1,0,0
82,"Heart0011-3","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0011-Functional-Right-Atrium-Coronary-Sinus-Ostium-3","View of the coronary sinus.  The camera advances into the coronary sinus showing small cardiac venous ostia within.
",1,1,1,0,0
83,"Heart0013-1","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0013-Functional-Right-Atrium-Coronary-Sinus-Ostium-1","View of the inside of the coronary sinus at the very distal end.  Shown is the great cardiac vein and the oblique vein of the left atrium, as well as the valve of Vieussens.
",1,1,1,0,0
84,"Heart0013-2","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0013-Functional-Right-Atrium-Coronary-Sinus-Ostium-2","Close-up view of the valve of Vieussens and another small venous valve at the distal end of the coronary sinus.
",1,1,1,0,0
85,"Heart0014","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0014-Functional-Right-Atrium-Coronary-Sinus-Ostium","View of Valve of Vieussens (and of Great Cardiac Vein) within the coronary sinus.
",1,1,1,0,0
86,"Heart0014-ThV","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0014-Functional-Right-Atrium-Coronary-Sinus-Ostium-Thebesian-Valve","View of the coronary sinus ostium and Thebesian valve.  The valve is fenestrated with a few larger openings.  The Eustachian ridge can be seen starting from the center of the screen to the upper left corner.
",1,1,1,0,0
87,"Heart0015","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0015-Functional-Right-Atrium-Coronary-Sinus-Ostium","View of a coronary venous ostium inside the coronary sinus.  A venous valve can be seen partially occluding the ostium.
",1,1,1,0,0
88,"Heart0023","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0023-Functional-Right-Atrium-Coronary-Sinus-Ostium","View of the coronary sinus ostium.  The Thebesian valve was ripped during explant.  Sutures closing the inferior vena cava ostium can be seen at the top of the screen.
",1,1,1,0,0
89,"Heart0037","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0037-Functional-Right-Atrium-Coronary-Sinus-Ostium","RA is fibrillating. The coronary sinus ostium is in the middle of the screen covered by a fairly prominent Thebesian valve; tricuspid valve is to the right.
",1,1,1,0,0
90,"Heart0046","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0046-Functional-Right-Atrium-Coronary-Sinus-Ostium","Coronary sinus ostium partially covered with Thebesian valve; several small venous ostia can be seen just inside in the coronary sinus
",1,1,1,0,0
91,"Heart0048-1","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0048-Functional-Right-Atrium-Coronary-Sinus-Ostium-1","Close-up of a coronary sinus ostium, covered by a  crescent shaped Thebesian valve. The tricuspid valve is to the right bottom corner of the screen; a Millar&reg; pressure transducer is going through the valve.  The heart is fibrillating.
",1,1,1,0,0
92,"Heart0048-2","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0048-Functional-Right-Atrium-Coronary-Sinus-Ostium-2","View just inside the coronary sinus; coronary venous ostia are visible at the top and bottom of the sinus.
",1,1,1,0,0
93,"Heart0049-ThV","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0049-Functional-Right-Atrium-Coronary-Sinus-Ostium-Thebesian-Valve","Coronary sinus and very large Thebesian valve that covers the majority of the ostium; the tricuspid valve is to the right bottom screen.
",1,1,1,0,0
94,"Heart0053","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0053-Functional-Right-Atrium-Coronary-Sinus-Ostium","A direct view into the coronary sinus ostium. Note the  small Thebesian valve and a flailing band above the ostium.
",1,1,1,0,0
95,"Heart0053-ThV","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0053-Functional-Right-Atrium-Coronary-Sinus-Ostium-Thebesian-Valve","Coronary sinus ostium; a relatively small Thebesian valve connected to fibrous banding can be seen at the bottom of the ostium. Note a flailing band above the ostium.
",1,1,1,0,0
96,"Heart0058-1","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0058-Functional-Right-Atrium-Coronary-Sinus-Ostium-1","The coronary sinus ostium is covered by a large Thebesian valve. The posterior portion of the tricuspid valve can be seen in the lower right of the screen.
",1,1,1,0,0
97,"Heart0058-2","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0058-Functional-Right-Atrium-Coronary-Sinus-Ostium-2","Close-up view of the coronary sinus ostium. A Thebesian vein ostium can also be seen to the right of the screen.
",1,1,1,0,0
98,"Heart0073","video","2011-08-30 14:16:16","2013-01-30 17:03:59","Heart0073-Functional-Right-Atrium-Coronary-Sinus-Ostium","The coronary sinus ostium is partially covered with a Thebesian valve. The IVC cannula can be seen at the top of the screen. Pectinate muscles of the RA can be seen to the left of the screen.
",1,0,1,0,0
99,"Heart0073-ThV","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0073-Functional-Right-Atrium-Coronary-Sinus-Ostium-Thebesian-Valve","View of the coronary sinus ostium.  A Thebesian valve is partially obstructing the opening.
",1,1,1,0,0
100,"Heart0076-1","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0076-Functional-Right-Atrium-Coronary-Sinus-Ostium-1","View of the coronary sinus ostium.  A thin Thebesian valve is partially obstructing the opening.
",1,1,1,0,0
101,"Heart0076-2","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0076-Functional-Right-Atrium-Coronary-Sinus-Ostium-2","View of the main venous return Â of the heart, the coronary sinus ostium, from the right atrium. A Thebesian valve is partially obstructing the opening. Thebesian valves can cause difficulties for physicians trying to gain left sided access from the right side of the heart via the coronary veins.
",1,1,1,0,0
102,"Heart0077","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0077-Functional-Right-Atrium-Coronary-Sinus-Ostium","Inside the coronary sinus; many branches and ridges are visible. 
",1,1,1,0,0
103,"Heart0077-ThV","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0077-Functional-Right-Atrium-Coronary-Sinus-Ostium-Thebesian-Valve","View of the coronary sinus sostium partially covered by the Thebesian valve.Â Thebesian valves can cause difficulties for physicians trying to gain left sided access from the right side of the heart via the coronary veins.
",1,1,1,0,0
104,"Heart0083-1","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0083-Functional-Right-Atrium-Coronary-Sinus-Ostium-1","View of the coronary sinus ostium showing the remnants of the thebesian valve.  The IVC is to the upper left of the image and the pectinate muscles of the Right atrial appendage can be seen to the lower left.
",1,1,1,0,0
105,"Heart0083-2","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0083-Functional-Right-Atrium-Coronary-Sinus-Ostium-2","Close up view of the coronary sinus ostium with the thebesian valve remnants on the right of the image.
",1,1,1,0,0
106,"Heart0085-1","video","2011-08-30 14:16:16","2012-12-27 16:44:14","Heart0085-Functional-Right-Atrium-Coronary-Sinus-Ostium-1","Inside the coronary sinus highlighting the varied anatomy of the coronary venous system.
",0,1,1,0,0
107,"Heart0085-2","video","2011-08-30 14:16:16","2012-12-27 16:44:14","Heart0085-Functional-Right-Atrium-Coronary-Sinus-Ostium-2","Coronary sinus ostium. The pectinate muscles of the right atrial endocardial wall can be seen to the left.  The branching of the coronary vasculature can be seen within the ostium and the thebesian valve can be seen around the left hand edge.
",0,1,1,0,0
108,"Heart0085-3","video","2011-08-30 14:16:16","2012-12-27 16:44:14","Heart0085-Functional-Right-Atrium-Coronary-Sinus-Ostium-3","View inside the coronary sinus. The thebesian valve can be seen to the left and a separate ostium to the posterior ventricular vein can be seen to the right of the coronary sinus.
",0,1,1,0,0
109,"Heart0086-ThV","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0086-Functional-Right-Atrium-Coronary-Sinus-Ostium-Thebesian-Valve","The coronary ostium is viewed from the right atrium.  A rudimentary thebesian valve is present.  The shot starts zoomed into the ostium and pans outwards.
",1,1,1,0,0
110,"Heart0120","video","2011-08-30 14:16:16","2012-12-27 16:49:25","Heart0120-Functional-Right-Atrium-Coronary-Sinus-Ostium","View of the coronary sinus ostium while the heart is fibrillating.  The Thebesian valve can be seen to cover the vast majority if the coronary sinus ostium.
",0,1,1,0,0
111,"Heart0126","video","2011-08-30 14:16:16","2012-12-27 16:51:19","Heart0126-Functional-Right-Atrium-Coronary-Sinus-Ostium","A view from just inside the coronary sinus, with the Thebesian valve visible on the left.
",0,1,1,0,0
112,"Heart0126-ThV","video","2011-08-30 14:16:16","2012-12-27 16:51:19","Heart0126-Functional-Right-Atrium-Coronary-Sinus-Ostium-Thebesian-Valve","A close up shot of the coronary sinus ostium with Thebesian valve.
",0,1,1,0,0
113,"Heart0136","video","2011-08-30 14:16:16","2013-07-10 16:15:17","Heart0136-Functional-Right-Atrium-Coronary-Sinus-Ostium","The coronary sinus osteium is seen from the right atrium with a thebesian valve partially covering the opening. As the samera slightly moves down the annulus of the tricuspid valve comes into view in the bottom corner of the screen.
",0,1,1,0,0
114,"Heart0017","video","2011-08-30 14:16:16","2012-09-05 16:44:34","Heart0017-Functional-Right-Atrium-Coronary-Sinus-Ostium","View of the coronary sinus ostium and Thebesian valve.  The tricuspid valve is located to the lower right of the image, off the screen, and the superior vena cava is located off the top of the screen.  The coronary sinus is compressed just passed the ostium.
",1,0,1,0,0
